username,full_name,follows_you,you_follow,followers,following,posts,has_profile_pic,is_verified,risk_score,risk_reasons,inactive,tag,recommended_action
emd_khan39,"Emd Khan",yes,no,0,0,0,no,no,6,"no posts; only 0 followers; no profile picture; no bio",yes,spam,REVIEW
joker_ms99,"JOKER",yes,no,0,0,0,no,no,6,"no posts; only 0 followers; no profile picture; no bio",yes,spam,REVIEW
selda_nnhvrnn51,"Monish Khan",yes,no,0,0,0,no,no,6,"no posts; only 0 followers; no profile picture; no bio",yes,spam,REVIEW
ugdlrsr192_,"Marion",yes,no,0,0,0,no,no,6,"no posts; only 0 followers; no profile picture; no bio",yes,spam,REVIEW
freefiregame917,"",yes,no,0,0,0,no,no,6,"no posts; only 0 followers; no profile picture; no bio",yes,spam,REVIEW
doga_n135,"doga_n13",yes,no,0,0,0,no,no,6,"no posts; only 0 followers; no profile picture; no bio",yes,spam,REVIEW
sinaji123,"",yes,no,0,0,0,no,no,6,"no posts; only 0 followers; no profile picture; no bio",yes,spam,REVIEW
susukambing754,"",yes,no,0,0,0,no,no,6,"no posts; only 0 followers; no profile picture; no bio",yes,spam,REVIEW
aksuna_korogluu345,"Aksuna Köroğlu",yes,no,0,0,0,no,no,6,"no posts; only 0 followers; no profile picture; no bio",yes,spam,REVIEW
arpit_3421,"Arpit Yadav",yes,no,0,0,0,yes,no,6,"no posts; only 0 followers; suspicious username pattern; no bio",yes,spam,REVIEW
mian_mujtaba_,"Mujtaba Aziz",yes,no,0,0,0,no,no,6,"no posts; only 0 followers; no profile picture; no bio",yes,spam,REVIEW
erfanxabar,"Erfan Xabar",yes,no,0,0,0,no,no,6,"no posts; only 0 followers; no profile picture; no bio",yes,spam,REVIEW
mr_imrana_,"imrana khan",yes,no,0,0,0,no,no,6,"no posts; only 0 followers; no profile picture; no bio",yes,spam,REVIEW
amin.az786,"amin",yes,no,0,0,0,no,no,6,"no posts; only 0 followers; no profile picture; no bio",yes,spam,REVIEW
javed_5252,"Muhammad Javed",yes,no,0,0,0,yes,no,6,"no posts; only 0 followers; suspicious username pattern; no bio",yes,spam,REVIEW
habibillah_23,"habibullah",yes,no,0,0,0,no,no,6,"no posts; only 0 followers; no profile picture; no bio",yes,spam,REVIEW
mansoor_akhtar1,"Mansoor",yes,no,0,0,0,no,no,6,"no posts; only 0 followers; no profile picture; no bio",yes,spam,REVIEW
aqvashahid7,"Aqva shahid",yes,no,0,0,0,no,no,6,"no posts; only 0 followers; no profile picture; no bio",yes,spam,REVIEW
rajofficial2022,"Raj Official",yes,no,0,0,0,yes,no,6,"no posts; only 0 followers; suspicious username pattern; no bio",yes,spam,REVIEW
hm_wazir,"Hm Wazir",yes,no,0,0,0,no,no,6,"no posts; only 0 followers; no profile picture; no bio",yes,spam,REVIEW
raj.kumar_50,"Raj Kumar",yes,no,0,0,0,no,no,6,"no posts; only 0 followers; no profile picture; no bio",yes,spam,REVIEW
saurabhgodara,"Saurabh Godara",yes,no,0,0,0,no,no,6,"no posts; only 0 followers; no profile picture; no bio",yes,spam,REVIEW
hussainflash1,"Hussain Flash",yes,no,0,0,0,no,no,6,"no posts; only 0 followers; no profile picture; no bio",yes,spam,REVIEW
soorya_1612,"Soorya Menon",yes,no,0,0,0,yes,no,6,"no posts; only 0 followers; suspicious username pattern; no bio",yes,spam,REVIEW
danish___khan,"Danish Khan",yes,no,0,0,0,no,no,6,"no posts; only 0 followers; no profile picture; no bio",yes,spam,REVIEW
rohan_8765,"rohan",yes,no,0,0,0,yes,no,6,"no posts; only 0 followers; suspicious username pattern; no bio",yes,spam,REVIEW
avinash__tomar_,"Avinash Tomar",yes,no,0,0,0,no,no,6,"no posts; only 0 followers; no profile picture; no bio",yes,spam,REVIEW
sarfraz__khan20,"Sarfraz Khan",yes,no,0,0,0,no,no,6,"no posts; only 0 followers; no profile picture; no bio",yes,spam,REVIEW
aryan_2402,"Aryan",yes,no,0,0,0,yes,no,6,"no posts; only 0 followers; suspicious username pattern; no bio",yes,spam,REVIEW
lakinisroosterband,"Lakini's Rooster",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
gurtsyinhcoach.me,"Gurtsyinhcoach",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
spirit_of_division,"Spirit of Division",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
officialbrian.smith,"Brian Smith",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
loriannromanchik,"Lori Ann Romanchik Lawther",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
benjamin.david.novak,"Benjamin David Novak",yes,no,0,0,0,yes,yes,5,"no posts; only 0 followers; no bio",yes,real_audience,KEEP
bradyluu,"Brady Lucas",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
sen_hill,"Lela Reichart",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
cobequid.classics.fly.fishing,"Cobequid Classics Fly Fishing",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
assaabloydoorsystems,"Assa Abloy Door Systems",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
belindarlogan,"Belinda Logan",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
cope_wilson,"Cope Wilson",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
fahad_leads,"Fahad @leads",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
ethanijumba,"Ethan Ijumba",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
jen_w_1_n,"1nJen",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
dirtydoughlititz,"Dirty Dough Lititz",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
joshuapasserrello,"Joshua Passerrello",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
silantraco,"Silantra Asian Street Kitchen",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
andrew.b.w,"Andrew Ben",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
dridinger141,"Dakota Ridinger",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
jwjohnsonart,"Justin W. Johnson",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
savoytrufflelanc,"Savoy Truffle",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
sofly_adventures,"So Fly Adventures",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
easyphatshall,"Easy Phatshall",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
oolabowlshersheypa,"Oola Bowls Hershey",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
estella_liuyimeng,"Estella",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
friscos.chicken,"Frisco's Chicken",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
miss_makesithappen,"Missy Jean",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
bentcreekhospitality,"Bent Creek Hospitality",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
lisadaniele321,"Lisa Daniele",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
